subject,session,stim,answer,conf,correct,contrast,rt,points
15,3,2,2,1,1,2,0.77676022,7
15,3,1,1,1,1,1,0.683764934,8
15,3,1,1,1,1,3,0.651050389,9
15,3,2,2,1,1,2,0.676856085,10
15,3,2,1,1,0,1,0.547304134,9
15,3,1,1,1,1,3,0.648955328,10
15,3,1,1,1,1,2,0.681435637,11
15,3,1,1,1,1,3,0.714801011,12
15,3,2,2,0.736,1,1,1.343664971,13
15,3,2,2,0.685,1,1,1.243731917,14
15,3,1,1,1,1,3,0.709078642,15
15,3,2,1,0.74,0,1,1.290999717,14
15,3,1,1,1,1,1,0.794355086,15
15,3,1,1,0.684,1,2,1.187894728,16
15,3,1,1,1,1,2,0.807109543,17
15,3,1,1,1,1,3,0.721476495,18
15,3,2,2,0.893,1,3,1.301658593,19
15,3,1,1,1,1,3,0.677165323,20
15,3,2,2,1,1,3,0.803906099,21
15,3,1,1,1,1,3,0.662041653,22
15,3,1,1,1,1,2,0.77465649,23
15,3,1,2,0.689,0,2,0.865474158,22
15,3,2,1,0.802,0,3,1.050109702,23
15,3,1,1,0.887,1,3,0.666941886,24
15,3,2,2,0.572,1,1,1.675127203,25
15,3,2,2,0.705,1,2,0.969245028,26
15,3,2,2,0.674,1,3,0.949761707,27
15,3,1,1,0.786,1,2,0.921702422,28
15,3,2,1,0.701,0,1,0.790877486,27
15,3,2,2,0.803,1,3,1.041565783,28
15,3,2,2,1,1,3,0.931243698,29
